Activity,From,To
Start of Semester,24-Feb-2025,
Experiential Learning - Phase I,03-Mar-2025,14-Mar-2025
CIE I (Test & Quiz I),01-Apr-2025,04-Apr-2025
Skill Development Training,21-Apr-2025,26-Apr-2025
Experiential Learning - Phase II,12-Apr-2025,
CIE II (Test & Quiz II),05-May-2025,08-May-2025
Improvement CIE (Quiz & Test),02-Jun-2025,05-Jun-2025
Experiential Learning - Phase III,09-Jun-2025,11-Jun-2025
Last Working Day of Semester,14-Jun-2025,
Semester End Exams - Practicals,23-Jun-2025,04-Jul-2025
Semester End Exams - Theory,07-Jul-2025,21-Jul-2025
